task	true_label	pred_label	error_pair	n_errors	mean_confidence	mean_margin
community_type	oral	Not applicable - env sample	oral → Not applicable - env sample	40	0.9964372709393501	0.9932132355588067
community_type	oral	soft tissue	oral → soft tissue	40	0.976022420823574	0.9604219046424987
community_type	oral	skeletal tissue	oral → skeletal tissue	10	0.9209202289581299	0.8425876624882221
community_type	Not applicable - env sample	soft tissue	Not applicable - env sample → soft tissue	9	0.9879767364925809	0.9779285152132312
community_type	soft tissue	skeletal tissue	soft tissue → skeletal tissue	9	0.9749576184484694	0.9506271643104911
community_type	skeletal tissue	soft tissue	skeletal tissue → soft tissue	5	0.9629774928092957	0.9430220521055162
community_type	gut	Not applicable - env sample	gut → Not applicable - env sample	3	0.9999224543571472	0.9998723871847991
community_type	Not applicable - env sample	plant tissue	Not applicable - env sample → plant tissue	2	0.9995340406894684	0.9990692048268102
community_type	Unknown	soft tissue	Unknown → soft tissue	1	0.9999995231628418	0.9999990211758245
community_type	oral	gut	oral → gut	1	0.9681065082550049	0.9557508556172252
community_type	plant tissue	Not applicable - env sample	plant tissue → Not applicable - env sample	1	0.9815292358398438	0.9747321517206728
community_type	skeletal tissue	oral	skeletal tissue → oral	1	0.9889923334121704	0.977984624914825
material	lake sediment	sediment	lake sediment → sediment	66	0.9944296154108915	0.9909839762067354
material	marine sediment	sediment	marine sediment → sediment	50	0.9820248115062714	0.969867061922794
material	birch pitch	sediment	birch pitch → sediment	37	0.9740016879262151	0.950221475300291
material	Skin	skin	Skin → skin	16	0.9942743554711342	0.9913321608022452
material	faeces	digestive tract contents	faeces → digestive tract contents	16	0.9994316659867764	0.9989008052114965
material	soil	skin	soil → skin	8	0.9970289543271065	0.995143475021905
material	dental calculus	skin	dental calculus → skin	6	0.97584468126297	0.9691781555496467
material	Unknown	bone	Unknown → bone	5	0.9719334006309509	0.9462015743367373
material	birch pitch	skin	birch pitch → skin	5	0.983666467666626	0.9759668351143773
material	lake sediment	permafrost	lake sediment → permafrost	4	0.9616143256425858	0.9232966632116586
material	permafrost	sediment	permafrost → sediment	4	0.9765755832195282	0.9537231997237541
material	soil	sediment	soil → sediment	4	0.965599536895752	0.9312209074269049
material	tooth	skin	tooth → skin	4	0.9673704504966736	0.954495043552015
material	birch pitch	saliva	birch pitch → saliva	3	0.9717397689819336	0.9566044465949138
material	palaeofaeces	digestive tract contents	palaeofaeces → digestive tract contents	3	0.9999999602635702	0.9999999010732695
material	dental calculus	tooth	dental calculus → tooth	2	0.95802441239357	0.9170963447540998
material	saliva	plaque	saliva → plaque	2	0.9773873388767242	0.9702301573706791
material	tongue	tissue	tongue → tissue	2	0.9733705818653107	0.9470116021111608
material	tooth	dental calculus	tooth → dental calculus	2	0.9559426605701447	0.9118852742394665
material	Oral	tissue	Oral → tissue	1	0.9521937370300293	0.9280261602252722
material	bone	dental calculus	bone → dental calculus	1	0.910889744758606	0.8217795193195343
material	bone	skin	bone → skin	1	0.9523360133171082	0.9274832308292389
material	bone	tooth	bone → tooth	1	0.9489270448684692	0.8980750292539597
material	buccal mucosa	skin	buccal mucosa → skin	1	0.9221774339675903	0.8777036070823669
material	dental calculus	saliva	dental calculus → saliva	1	0.9154749512672424	0.8703791126608849
material	dental calculus	sediment	dental calculus → sediment	1	0.9918252229690552	0.988396389875561
