table	sample_accession	field	old	new	commit	change_type	archive_sample_accession	archive_data_accession	split
hostassociated	SRS9263819	material	calculus	dental calculus	ff62b9d1	vocabulary normalisation	SRS9263819	SRR14894172	not_in_v9
hostassociated	SRS9263820	material	calculus	dental calculus	ff62b9d1	vocabulary normalisation	SRS9263820	SRR14894173	val
hostassociated	SRS9263818	material	calculus	dental calculus	ff62b9d1	vocabulary normalisation	SRS9263818	SRR14894174	val
hostassociated	SRS9263822	material	calculus	dental calculus	ff62b9d1	vocabulary normalisation	SRS9263822	SRR14894175	val
hostassociated	SRS9263817	material	calculus	dental calculus	ff62b9d1	vocabulary normalisation	SRS9263817	SRR14894176	not_in_v9
hostassociated	SRS9263816	material	calculus	dental calculus	ff62b9d1	vocabulary normalisation	SRS9263816	SRR14894177	not_in_v9
hostassociated	DRS361428	sample_host	human	Homo sapiens	f9dcfe92	genuine relabel	DRS361428	DRR525850	not_in_v9
hostassociated	DRS361172	sample_host	human	Homo sapiens	f9dcfe92	genuine relabel	DRS361172	DRR525849	not_in_v9
hostassociated	DRS361450	sample_host	human	Homo sapiens	f9dcfe92	genuine relabel	DRS361450	DRR525851	not_in_v9
hostassociated	DRS361563	sample_host	human	Homo sapiens	f9dcfe92	genuine relabel	DRS361563	DRR525848	not_in_v9
hostassociated		community_type	ENA	SRA	dca639cc	genuine relabel			not_in_v9
hostassociated		sample_host	10.1371/journal.pone.0170940	200	dca639cc	genuine relabel			not_in_v9
hostassociated		material	PRJEB18722	PRJNA1037120	dca639cc	genuine relabel			not_in_v9
hostassociated	ERS15977457	community_type	oral	skeletal tissue	ecd34404	genuine relabel	ERS15977457	ERR11656739	train
hostassociated	ERS15977457	material	dental calculus	bone	ecd34404	genuine relabel	ERS15977457	ERR11656739	train
hostassociated	ERS21099215	community_type	skeletal tissue	skeletaltissue	26cbf24b	vocabulary normalisation	ERS21099215	ERR13897435	val
hostassociated	ERS21099283	community_type	skeletal tissue	skeletaltissue	26cbf24b	vocabulary normalisation	ERS21099283	ERR13897122	val
hostassociated	ERS21099302	community_type	skeletal tissue	skeletaltissue	26cbf24b	vocabulary normalisation	ERS21099302	ERR13897408	val
hostassociated	ERS21099221	community_type	skeletal tissue	skeletaltissue	26cbf24b	vocabulary normalisation	ERS21099221	ERR13897097	val
hostassociated	ERS21099082	community_type	skeletal tissue	skeletaltissue	26cbf24b	vocabulary normalisation	ERS21099082	ERR13896964	val
hostassociated	ERS21099265	community_type	skeletal tissue	skeletaltissue	26cbf24b	vocabulary normalisation	ERS21099265	ERR13897345	val
hostassociated	ERS21099090	community_type	skeletal tissue	skeletaltissue	26cbf24b	vocabulary normalisation	ERS21099090	ERR15696080	val
hostassociated	ERS21099510	community_type	skeletal tissue	skeletaltissue	26cbf24b	vocabulary normalisation	ERS21099510	ERR13901449	not_in_v9
hostassociated	ERS21099215	sample_host	Mammuthus primigenius	Mammuthusprimigenius	26cbf24b	vocabulary normalisation	ERS21099215	ERR13897435	val
hostassociated	ERS21099283	sample_host	Mammuthus primigenius	Mammuthusprimigenius	26cbf24b	vocabulary normalisation	ERS21099283	ERR13897122	val
hostassociated	ERS21099302	sample_host	Mammuthus primigenius	Mammuthusprimigenius	26cbf24b	vocabulary normalisation	ERS21099302	ERR13897408	val
hostassociated	ERS21099221	sample_host	Mammuthus primigenius	Mammuthusprimigenius	26cbf24b	vocabulary normalisation	ERS21099221	ERR13897097	val
hostassociated	ERS21099082	sample_host	Mammuthus primigenius	Mammuthusprimigenius	26cbf24b	vocabulary normalisation	ERS21099082	ERR13896964	val
hostassociated	ERS21099265	sample_host	Mammuthus primigenius	Mammuthusprimigenius	26cbf24b	vocabulary normalisation	ERS21099265	ERR13897345	val
hostassociated	ERS21099090	sample_host	Mammuthus primigenius	Mammuthusprimigenius	26cbf24b	vocabulary normalisation	ERS21099090	ERR15696080	val
hostassociated	ERS21099510	sample_host	Mammuthus trogontherii	Mammuthustrogontherii	26cbf24b	vocabulary normalisation	ERS21099510	ERR13901449	not_in_v9
hostassociated	ERS21099246	community_type	skeletaltissue	skeletal tissue	9628e9e8	vocabulary normalisation	ERS21099246	ERR13897340	val
hostassociated	ERS21099215	community_type	skeletaltissue	skeletal tissue	9628e9e8	vocabulary normalisation	ERS21099215	ERR13897435	val
hostassociated	ERS21099256	community_type	skeletaltissue	skeletal tissue	9628e9e8	vocabulary normalisation	ERS21099256	ERR13897349	val
hostassociated	ERS21099283	community_type	skeletaltissue	skeletal tissue	9628e9e8	vocabulary normalisation	ERS21099283	ERR13897122	val
hostassociated	ERS21099302	community_type	skeletaltissue	skeletal tissue	9628e9e8	vocabulary normalisation	ERS21099302	ERR13897408	val
hostassociated	ERS21099290	community_type	skeletaltissue	skeletal tissue	9628e9e8	vocabulary normalisation	ERS21099290	ERR13897352	val
hostassociated	ERS21099221	community_type	skeletaltissue	skeletal tissue	9628e9e8	vocabulary normalisation	ERS21099221	ERR13897097	val
hostassociated	ERS21099095	community_type	skeletaltissue	skeletal tissue	9628e9e8	vocabulary normalisation	ERS21099095	ERR13900238	not_in_v9
hostassociated	ERS21099451	community_type	skeletaltissue	skeletal tissue	9628e9e8	vocabulary normalisation	ERS21099451	ERR13896924	val
hostassociated	ERS21099141	community_type	skeletaltissue	skeletal tissue	9628e9e8	vocabulary normalisation	ERS21099141	ERR13897471	val
hostassociated	ERS21099082	community_type	skeletaltissue	skeletal tissue	9628e9e8	vocabulary normalisation	ERS21099082	ERR13896964	val
hostassociated	ERS21099265	community_type	skeletaltissue	skeletal tissue	9628e9e8	vocabulary normalisation	ERS21099265	ERR13897345	val
hostassociated	ERS21099439	community_type	skeletaltissue	skeletal tissue	9628e9e8	vocabulary normalisation	ERS21099439	ERR13903112	val
hostassociated	ERS21099090	community_type	skeletaltissue	skeletal tissue	9628e9e8	vocabulary normalisation	ERS21099090	ERR15696080	val
hostassociated	ERS21099510	community_type	skeletaltissue	skeletal tissue	9628e9e8	vocabulary normalisation	ERS21099510	ERR13901449	not_in_v9
hostassociated	ERS21099246	sample_host	Mammuthusprimigenius	Mammuthus primigenius	9628e9e8	vocabulary normalisation	ERS21099246	ERR13897340	val
hostassociated	ERS21099215	sample_host	Mammuthusprimigenius	Mammuthus primigenius	9628e9e8	vocabulary normalisation	ERS21099215	ERR13897435	val
hostassociated	ERS21099256	sample_host	Mammuthusprimigenius	Mammuthus primigenius	9628e9e8	vocabulary normalisation	ERS21099256	ERR13897349	val
hostassociated	ERS21099283	sample_host	Mammuthusprimigenius	Mammuthus primigenius	9628e9e8	vocabulary normalisation	ERS21099283	ERR13897122	val
hostassociated	ERS21099302	sample_host	Mammuthusprimigenius	Mammuthus primigenius	9628e9e8	vocabulary normalisation	ERS21099302	ERR13897408	val
hostassociated	ERS21099290	sample_host	Mammuthusprimigenius	Mammuthus primigenius	9628e9e8	vocabulary normalisation	ERS21099290	ERR13897352	val
hostassociated	ERS21099221	sample_host	Mammuthusprimigenius	Mammuthus primigenius	9628e9e8	vocabulary normalisation	ERS21099221	ERR13897097	val
